Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,534495291,6857.303528,3485948,44.72294503,571825,6311088,80.96805853,8591,0.110218173,1082
United States of America,Americas,84708007,25591.338,731052,220.86,114807,1001895,302.685,2340,0.707,297
India,South-East Asia,43245517,3133.723,55235,4.003,8822,524792,38.028,77,0.006,15
Brazil,Americas,31497038,14817.992,301920,142.04,40173,668180,314.35,1139,0.536,70
France,Europe,29009234,44602.583,251844,387.218,65425,145564,223.809,293,0.45,57
Germany,Europe,27007429,32473.845,393189,472.772,64479,140026,168.368,47,0.057,8
The United Kingdom,Europe,22422615,33029.805,64264,94.665,8427,179363,264.212,179,0.264,6
Russian Federation,Europe,18385098,12598.188,22993,15.756,2718,380203,260.53,467,0.32,66
Republic of Korea,Western Pacific,18248479,35593.464,60294,117.603,9423,24399,47.59,94,0.183,9
Italy,Europe,17703887,29683.845,160751,269.529,39844,167505,280.853,416,0.698,73
Turkey,Europe,15085742,17887.016,7556,8.959,0,98996,117.379,20,0.024,0
Spain,Europe,12515127,26440.811,44153,93.282,36133,107239,226.565,230,0.486,131
Viet Nam,Western Pacific,10733285,11026.753,6280,6.452,856,43083,44.261,2,0.002,0
Argentina,Americas,9313453,20606.911,36835,81.501,0,128994,285.412,21,0.046,0
Japan,Western Pacific,9075966,7176.012,103312,81.685,14030,30935,24.459,138,0.109,25
Netherlands,Europe,8110818,46593.585,15526,89.191,2887,22336,128.312,10,0.057,0
Australia,Western Pacific,7583518,29739.422,112726,442.065,15418,8957,35.126,155,0.608,0
Iran (Islamic Republic of),Eastern Mediterranean,7234042,8612.678,1113,1.325,162,141353,168.292,14,0.017,1
Colombia,Americas,6117847,12023.387,8742,17.181,0,139894,274.933,27,0.053,0
Indonesia,South-East Asia,6063251,2216.719,5071,1.854,1242,156670,57.278,42,0.015,8
Poland,Europe,6010643,15834.926,1438,3.788,232,116387,306.619,25,0.066,7
Mexico,Americas,5825532,4518.272,21701,16.831,1688,325205,252.228,23,0.018,11
Ukraine,Europe,5014929,11466.952,0,0,0,108605,248.332,0,0,0
Portugal,Europe,4985742,48424.496,114410,1111.218,23364,23707,230.257,256,2.486,37
Malaysia,Western Pacific,4530312,13997.133,12865,39.749,1922,35720,110.363,21,0.065,4
Thailand,South-East Asia,4490760,6433.756,16893,24.202,2263,30368,43.507,129,0.185,0
Austria,Europe,4335007,48702.121,27541,309.412,4335,19975,224.411,12,0.135,0
Israel,Europe,4201869,48545.423,39735,459.07,7661,10882,125.723,6,0.069,0
Belgium,Europe,4177440,36254.821,8932,77.518,0,31835,276.287,26,0.226,0
China,Western Pacific,3994428,271.492,465700,31.653,66634,19020,1.293,1191,0.081,124
South Africa,Africa,3979126,6709.179,8133,13.713,0,101509,171.154,112,0.189,0
Czechia,Europe,3923943,36693.149,2069,19.347,450,40303,376.877,6,0.056,0
Canada,Americas,3892409,10313.161,9188,24.344,0,41470,109.877,170,0.45,0
Chile,Americas,3834020,20056.391,73129,382.55,4901,58119,304.03,122,0.638,10
Philippines,Western Pacific,3693865,3370.897,1973,1.8,257,60461,55.175,5,0.005,0
Switzerland,Europe,3684276,42570.059,13128,151.688,6,13273,153.363,0,0,0
Peru,Americas,3591816,10893.582,6049,18.346,934,213338,647.031,69,0.209,14
Greece,Europe,3508610,32733.953,29831,278.312,4210,30033,280.196,82,0.765,7
Denmark,Europe,3148183,54066.824,7518,129.114,2364,6419,110.24,31,0.532,5
Romania,Europe,2912878,15070.114,1708,8.837,0,65714,339.979,17,0.088,0
Sweden,Europe,2510930,24312.838,874,8.463,0,19049,184.448,0,0,0
Iraq,Eastern Mediterranean,2330393,5793.756,1436,3.57,344,25224,62.711,3,0.007,1
Serbia,Europe,2020952,29176.239,1781,25.712,356,16103,232.477,9,0.13,2
Bangladesh,South-East Asia,1954637,1186.863,883,0.536,232,29131,17.688,0,0,0
Hungary,Europe,1923122,19684.906,1636,16.746,1636,46594,476.932,23,0.235,23
Slovakia,Europe,1791639,32826.689,1042,19.092,213,20119,368.623,12,0.22,0
Jordan,Eastern Mediterranean,1697673,16638.741,402,3.94,0,14068,137.879,0,0,0
Georgia,Europe,1658755,41581.405,515,12.91,0,16838,422.092,3,0.075,0
Ireland,Europe,1570519,31635.371,905,18.23,0,7416,149.382,5,0.101,0
Pakistan,Eastern Mediterranean,1531327,693.246,513,0.232,54,30381,13.754,2,0.001,0
Norway,Europe,1437344,26778.25,2192,40.838,264,3210,59.803,0,0,0
Kazakhstan,Europe,1395085,7429.87,88,0.469,17,19017,101.28,1,0.005,0
Singapore,Western Pacific,1348775,23054.635,23152,395.738,5130,1401,23.947,7,0.12,3
New Zealand,Western Pacific,1248298,25886.306,40499,839.839,0,1295,26.855,79,1.638,0
Morocco,Eastern Mediterranean,1177842,3191.071,6808,18.445,1677,16083,43.573,1,0.003,1
