COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,01/06/2022,6171652,5456919,15.854,14.018,4807917,12.351,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",22/02/2021,11,,
Albania,ALB,EURO,REPORTING,29/05/2022,2873654,1320244,99.9,46.39,1241712,43.631,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",13/01/2021,5,310249,10.901
Algeria,DZA,AFRO,REPORTING,05/06/2022,15205854,7840131,34.676,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",30/01/2021,4,514063,1.172
American Samoa,ASM,WPRO,REPORTING,05/06/2022,108220,44456,196.061,80.541,40945,74.18,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21/12/2020,3,22893,41.475
Andorra,AND,EURO,REPORTING,29/05/2022,153072,57880,198.1,75.981,53450,70.166,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",20/01/2021,3,41742,54.796
Angola,AGO,AFRO,REPORTING,05/06/2022,19486927,12700926,59.292,38.644,6811268,20.724,SII - Covishield,10/03/2021,1,512820,1.56
Anguilla,AIA,AMRO,REPORTING,03/06/2022,23601,10746,157.319,71.63,10054,67.018,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",05/02/2021,2,2801,18.671
Antigua and Barbuda,ATG,AMRO,REPORTING,03/06/2022,135715,63995,138.585,65.348,61882,63.191,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,03/06/2022,102986910,41110433,227.868,90.961,37483237,82.935,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29/12/2020,7,24708535,54.67
Armenia,ARM,EURO,REPORTING,22/05/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",16/06/2021,8,40725,1.374
Aruba,ABW,AMRO,REPORTING,03/06/2022,171243,88853,160.391,83.222,82390,77.169,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17/02/2021,2,,
Australia,AUS,WPRO,REPORTING,05/06/2022,59172637,22318568,232.051,87.524,21612293,84.754,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",21/02/2021,5,13698525,53.72
Austria,AUT,EURO,REPORTING,29/05/2022,18360721,6828403,206.3,76.714,6618435,74.356,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/12/2020,6,5265109,59.151
Azerbaijan,AZE,EURO,REPORTING,29/05/2022,13594097,5372656,134.1,52.989,4853656,47.87,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20/01/2021,5,3367787,33.216
Bahamas,BHS,AMRO,REPORTING,03/06/2022,340866,166471,86.681,42.333,157964,40.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",14/03/2021,4,27866,7.086
Bahrain,BHR,EMRO,REPORTING,01/06/2022,3444799,1236895,202.448,72.691,1220655,71.737,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",04/11/2020,11,987249,58.02
Bangladesh,BGD,SEARO,REPORTING,07/06/2022,269401356,129092630,163.581,78.386,118088249,71.704,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",27/01/2021,8,22220477,13.492
Barbados,BRB,AMRO,REPORTING,03/06/2022,363262,162385,126.407,56.506,152808,53.174,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",08/01/2021,5,48069,16.727
Belarus,BLR,EURO,REPORTING,29/05/2022,13054679,6388371,138.2,67.607,6237709,66.012,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",03/02/2021,4,726983,7.693
Belgium,BEL,EURO,REPORTING,29/05/2022,25357830,9234117,220.1,80.14,9136723,79.295,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,7148875,62.043
Belize,BLZ,AMRO,REPORTING,03/06/2022,478096,237860,120.237,59.82,212057,53.33,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,5,49359,12.413
Benin,BEN,AFRO,REPORTING,05/06/2022,4156907,3638324,34.289,30.011,2690085,22.19,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",29/03/2021,5,,
Bermuda,BMU,AMRO,REPORTING,03/06/2022,131612,48554,211.347,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",11/01/2021,2,31821,51.099
Bhutan,BTN,SEARO,REPORTING,05/06/2022,1909762,692874,247.504,89.796,672508,87.157,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27/03/2021,5,544380,70.551
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,03/06/2022,13939699,7213127,119.418,61.793,5980603,51.234,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",30/01/2021,6,1557225,13.34
